Id,,dG [kcal/mol] mean
A1054_out_frst.sdf,,-9.548525384
A1058_out_frst.sdf,,-8.585699466
A1062_out_frst.sdf,,-7.510387863
A1084_out_frst.sdf,,-8.485075889
A1088_out_frst.sdf,,-9.188258672
A1102_out_frst.sdf,,-7.920032726
A1108_out_frst.sdf,,-8.833784427
A1112_out_frst.sdf,,-8.644102529
A1121_out_frst.sdf,,-6.886673984
A1124_out_frst.sdf,,-8.145317868
A1134_out_frst.sdf,,-8.109809436
A1141_out_frst.sdf,,-8.509755032
A1144_out_frst.sdf,,-10.05897149
A1147_out_frst.sdf,,-7.344664867
A1156_out_frst.sdf,,-7.567269056
A1157_out_frst.sdf,,-7.386175806
A1164_out_frst.sdf,,-8.751973956
A1165_out_frst.sdf,,-8.48634744
A1167_out_frst.sdf,,-8.851480477
A1173_out_frst.sdf,,-7.07832381
A1179_out_frst.sdf,,-8.886498111
A1185_out_frst.sdf,,-6.151525906
A1192_out_frst.sdf,,-8.101281575
A1195_out_frst.sdf,,-8.690226439
A1197_out_frst.sdf,,-8.132345693
A1201_out_frst.sdf,,-8.056743356
A1207_out_frst.sdf,,-7.950181184
A1211_out_frst.sdf,,-7.532432127
A1212_out_frst.sdf,,-8.276946064
A1217_out_frst.sdf,,-8.144106736
A1220_out_frst.sdf,,-7.191667587
A1223_out_frst.sdf,,-7.248943295
A1225_out_frst.sdf,,-8.587761794
A1233_out_frst.sdf,,-7.392710863
A1234_out_frst.sdf,,-8.343264893
A1238_out_frst.sdf,,-8.483976858
A1246_out_frst.sdf,,-9.170158727
A1250_out_frst.sdf,,-7.943233681
A1251_out_frst.sdf,,-8.111509252
A1253_out_frst.sdf,,-8.431182064
A1254_out_frst.sdf,,-7.215807193
A1257_out_frst.sdf,,-8.516121616
A1258_out_frst.sdf,,-7.240615266
A1260_out_frst.sdf,,-10.4896484
A1261_out_frst.sdf,,-9.889477893
A872_out_frst.sdf,,-7.7732731
A875_out_frst.sdf,,-8.424457383
A877_out_frst.sdf,,-8.746015314
A878_out_frst.sdf,,-8.155345988
A884_out_frst.sdf,,-8.055027355
A888_out_frst.sdf,,-9.419402126
